web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,image
"1774076535-11","https://www.sltda.gov.lk/en/tourist-attractions#","Galle","Galle""Gaul"", and in Sinhalese IPA: [ɡaːlːə]) is a town situated on the southwestern tip of Sri Lanka, 119 km from Colombo. Galle was known as Gimhathiththa before the arrival of the Portuguese in the 16th century, when it was the main port on the island. Galle reached the height of its development in the 18th century, during the Dutch colonial period. The major river is Gin River Gin Ganga which starts from Gongala Kanda and passing villages such as Neluwa, Nagoda, Baddegama, Thelikada, Wakwella and kisses the sea at Ginthota. In Wakwella over the river there is Wakwella Bridge which is the longest bridge in Sri Lanka.","Access Full Map","View Gallery","Watch Video","Wikipedia","https://www.sltda.gov.lk/storage/common_media/galle-03_3525316434_o1350742866.jpg"
"1774076535-12","https://www.sltda.gov.lk/en/tourist-attractions#","Hambantota","Hambantota is a rural town in southeastern coastal area of Sri Lanka. It is also the capital of the Hambantota District in the Southern Province of Sri Lanka.","Access Full Map","View Gallery","Watch Video","Wikipedia","https://www.sltda.gov.lk/storage/common_media/hambantota-port-2_3525325706_o482616595.jpg"
"1774076535-13","https://www.sltda.gov.lk/en/tourist-attractions#","Hikkaduwa","Hikkaduwa is a small town on the south coast of Sri Lanka. It is located in the Southern Province, about 20 km north-west of Galle. Hikkaduwa is famous for its beach and corals. Villages affected were Telwatta, Paraliya, Dodanduwa, Kahawa, Rathgama. The place is on the way from Colombo to Galle on the famous Galle road. It is primarily a tourist destination, and serves as a great beach with options to surf, snorkel and enjoy the sun.","Access Full Map","View Gallery","Watch Video","Wikipedia","https://www.sltda.gov.lk/storage/common_media/hikkaduwa-05_3525345850_o3733160465.jpg"
"1774076535-14","https://www.sltda.gov.lk/en/tourist-attractions#","Horton Plains","Horton Plains National Park ""Maha-Eliya"" in Sinhala, is a national park in the highlands of Sri Lanka. It lies at a height of more than 2,000 m in the central highlands, and its altitude means that it has a much cooler and more windy climate than the lowlands of Sri Lanka, with a mean annual temperature of 16 °C rather than the 26 °C of the coasts. The area was named in 1834 after Lady Anne Horton, wife of Sir Robert Wilmot-Horton, then-governor of Ceylon.","Access Full Map","View Gallery","Watch Video","Wikipedia","https://www.sltda.gov.lk/storage/common_media/hortoton20plains-07_3524553525_o3805609797.jpg"
"1774076535-15","https://www.sltda.gov.lk/en/tourist-attractions#","Jaffna","Jaffna or Yazhpanam is the capital city of the Northern Province, Sri Lanka. Most of the residents of Jaffna are Sri Lankan Tamils with a presence of Sri Lankan Moors and Portuguese Burghers . Almost all Sri Lankan Muslims were driven off from Jaffna by the LTTE in the 1990s, as a result of the ethnic conflict which started in the 1970s [1] which leaves Jaffna exclusively Tamil, apart from the military personnel.","Access Full Map","View Gallery","Watch Video","Wikipedia","https://www.sltda.gov.lk/storage/common_media/jaffna_3526732927_o1537600501.jpg"
"1774076535-16","https://www.sltda.gov.lk/en/tourist-attractions#","Kalkudah","Kalkudah or Kalkuda (Pronounced Kal-Kuda, Tamil translation rock-bay) is a coastal resort town located about 35 kilometers northwest of Batticaloa, Batticaloa District, Sri Lanka. It used to be a popular tourist destination. Pasikudah and Kalkudah are located few kilometers apart","Access Full Map","View Gallery","Watch Video","Wikipedia","https://www.sltda.gov.lk/storage/common_media/kalkudah-02_3527561872_o2426198358.jpg"
"1774076535-17","https://www.sltda.gov.lk/en/tourist-attractions#","Kalpitiya","Despite its natural beauty, the western peninsular area of KALPITIYA in the Puttalam district of Sri Lanka is remarkably untouched by tourism.  But for those lucky enough to visit, there's a plethora of things to see and do!  With the small close-knit fishing community dominating the lives of the local people, visitors can get a real insight into working life away from the city.  After watching the night fishing boats return in the morning, a visit to one of the fish markets offers the opportunity to choose the evening meal direct from the fresh catch!  The Dutch Fort and St Peter's Kerk church in the town itself are interesting examples of Sri Lanka's rich history and colonial past.  Leisurely boat rides up the lagoon and canoe trips down the river are a pleasant way of exploring the coastline, whilst 4WD jeep rides along the deserted sand dunes between the ocean and the lagoon offer a unique way of watching the colourful evening sunsets.","Access Full Map","View Gallery","Watch Video","Wikipedia","https://www.sltda.gov.lk/storage/common_media/kalpitiya01_3527576512_o1234149560.jpg"
"1774076535-18","https://www.sltda.gov.lk/en/tourist-attractions#","Kandy","Kandy in Sinhala, pronounced is the English name for the city of Maha Nuvara (Senkadagalapura) in the centre of Sri Lanka. It is the capital of the Central Province and Kandy District. It lies in the midst of hills in the Kandy Valley which crosses an area of tropical plantations, mainly tea. Kandy is one of the most scenic cities in Sri Lanka. Kandy is of both an administrative and religious city. It is the capital of the Central Province and also of the administrative district of Kandy.","Access Full Map","View Gallery","Watch Video","Wikipedia","https://www.sltda.gov.lk/storage/common_media/kandy2923472476.png"
"1774076535-19","https://www.sltda.gov.lk/en/tourist-attractions#","Katunayake","Katunayake a town is situated on the west coast of the island of Sri Lanka near Negombo and close to the commercial capital of Colombo. It is the site of Bandaranaike International Airport, the primary international air gateway to Sri Lanka. With the change of government in 1977 and the introduction of the open economy policy a large area was allocated to create a free trade zone. This created a large amount of job opportunities for the local youth and has contributed substantially towards the country's economy.","Access Full Map","View Gallery","Watch Video","Wikipedia","https://www.sltda.gov.lk/storage/common_media/BIA_Airport-6003438601877.jpg"
"1774076535-20","https://www.sltda.gov.lk/en/tourist-attractions#","Kitulgala","Kitulgala is a small town in the west of Sri Lanka. It is in the wet zone rainforest, which gets two monsoons each year, and is one of the wettest places in the country. Nevertheless, it comes alive in the first three months of the year, especially in February, the driest month. The Academy Award-winning ""The Bridge on the River Kwai"" was filmed on the Kelani River near Kitulgala, although nothing remains now except the concrete foundations for the bridge Kitulgala is also a base for white-water rafting, which starts a few kilometres upstream.","Access Full Map","View Gallery","Watch Video","Wikipedia","https://www.sltda.gov.lk/storage/common_media/kitulgala06_3526839061_o429146313.jpg"
"1774076535-21","https://www.sltda.gov.lk/en/tourist-attractions#","Knuckles Range","The Knuckles Mountain Range lies in central Sri Lanka, north-east of the city of Kandy. The range takes its name from a series of recumbent folds and peaks in the west of the massif which resemble the knuckles of clenched fist when viewed from certain locations in the Kandy District. Whilst this name was assigned by early British surveyors, the Sinhalese residents have traditionally referred to the area as Dumbara Kanduvetiya meaning mist-laden mountain range (Cooray, 1984). The entire area is characterised by its striking landscapes often robed in thick layers of cloud but in addition to its aesthetic value the range is of great scientific interest. It is a climatic microcosm of the rest of Sri Lanka.","Access Full Map","View Gallery","Watch Video","Wikipedia","https://www.sltda.gov.lk/storage/common_media/mistymountains07_3526857553_o2058697105.jpg"
